index,servo,motor,gimbal,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0,0,0,-6,-30,-3920,14,49,-39
1,17047,0,2689,0,-64,-3946,20,7,-43
2,17035,0,2689,-56,-42,-3996,-55,-44,7
3,17035,-1,2691,-4,86,-4064,20,-250,-158
4,17035,0,2690,-36,-58,-3916,7,110,-81
5,17035,0,2691,6,56,-4036,-148,83,57
6,17035,-1,2689,-34,-56,-3864,56,39,-84
7,17047,0,2690,-44,-16,-3926,-9,-103,-28
8,17047,0,2691,-16,-2,-3946,0,109,-234
9,17035,0,2690,-14,2,-3856,13,-35,-7
10,17035,0,2691,16,52,-3966,20,-75,-84
11,17035,0,2689,12,48,-4000,-67,14,114
12,17047,0,2689,-6,14,-3888,49,-49,31
13,17047,0,2692,8,-130,-3880,65,-81,152
14,17047,-1,2689,-50,-76,-3898,-55,-66,60
15,17047,0,2691,-38,-50,-3956,130,52,-42
16,17047,0,2688,18,16,-4034,-3,154,58
17,17035,0,2691,-42,-92,-3822,-35,-215,443
18,17035,0,2690,-32,-16,-3940,114,78,-148
19,17035,0,2690,-24,-48,-3934,14,-15,-266
20,17035,0,2691,-28,40,-3924,-45,90,123
21,17035,0,2689,-26,32,-3924,-61,-15,84
22,17035,0,2691,-32,-136,-3946,-13,-193,-119
23,17047,0,2690,-52,96,-3980,-9,271,-311
24,17047,1,2689,-38,8,-3944,68,141,-154
25,17047,0,2688,-54,-186,-3832,39,220,-4
26,17035,0,2689,-26,2,-3906,29,45,-282
27,17035,0,2690,2,158,-4014,22,51,69
28,17047,0,2690,-16,-72,-3900,-110,-460,-28
29,17035,0,2690,-22,-262,-3902,-16,122,219
30,17035,0,2691,-58,118,-3966,4,-459,388
31,17047,0,2689,-38,28,-3928,88,-34,-87
32,17047,0,2690,-24,-224,-3944,-28,119,70
33,17035,-1,2689,-102,130,-3928,-35,141,-104
34,17035,0,2689,8,42,-3980,-116,39,114
35,17047,1,2690,2,-24,-3942,-12,55,-25
36,17047,0,2690,2,56,-3976,23,-104,102
37,17047,0,2692,-68,72,-3972,136,-278,31
38,17047,0,2690,-44,-66,-3892,214,-221,-45
39,17047,1,2690,-26,8,-3986,-29,118,-117
40,17035,0,2690,-98,162,-3988,-77,-491,155
41,17035,0,2689,-22,-36,-3964,-174,87,220
42,17047,0,2691,-32,92,-3982,-55,106,128
43,17047,0,2689,10,8,-3912,55,194,116
44,17047,0,2690,-8,-66,-3898,45,-371,261
45,17047,0,2691,-52,-54,-3926,-58,-50,-72
46,17047,0,2690,-44,-6,-3866,16,64,-173
47,17035,1,2690,-18,64,-4020,7,-263,-69
48,17035,0,2690,-18,-68,-3924,-103,404,190
49,17035,0,2691,-8,-4,-4004,-42,185,-19
50,17047,0,2690,-4,86,-4038,10,48,275
51,17047,0,2690,-100,152,-3866,91,-9,75
52,17035,0,2690,10,-84,-3888,65,0,143
53,17035,0,2691,-92,88,-3970,-90,230,-137
54,17035,0,2691,-36,66,-4064,84,-336,193
55,17035,-1,2689,-58,-84,-3814,-9,77,-63
56,17035,1,2690,-14,10,-3992,49,-161,223
57,17035,0,2690,-52,28,-3924,94,-250,96
58,17035,0,2690,38,-168,-3922,-32,-161,31
59,17035,0,2689,-26,14,-4000,-39,134,-408
60,17035,0,2691,-44,32,-3904,0,264,-458
61,17047,1,2690,16,4,-3984,91,-107,-96
62,17035,0,2688,-14,-36,-3978,139,80,116
63,17035,0,2690,-22,186,-4004,104,-21,28
64,17035,0,2690,-42,-74,-3922,13,58,-173
65,17035,0,2690,-10,-6,-3954,-15,-129,25
66,17047,0,2689,-80,-62,-3986,-28,163,23
67,17047,0,2691,-42,76,-3928,-84,55,-40
68,17035,1,2690,32,-76,-3900,-113,137,81
69,17047,0,2690,0,16,-4028,55,230,228
70,17047,-1,2690,2,138,-3986,71,106,134
71,17047,0,2690,46,-108,-3926,149,-171,10
72,17047,0,2690,-24,-60,-3918,94,240,-95
73,17035,0,2689,-2,12,-4084,56,119,-187
74,17035,0,2689,-48,84,-3930,65,1,-87
75,17035,-1,2690,-54,-198,-3916,117,-707,61
76,17035,0,2690,-30,64,-4026,-104,293,49
77,17035,0,2689,-14,-8,-3934,-71,14,-99
78,17035,0,2690,-50,-10,-3894,-68,-101,-175
79,17035,0,2690,14,-96,-3882,32,179,-264
80,17035,0,2690,-48,42,-4040,-25,211,-128
81,17035,0,2689,-28,-116,-3886,-6,52,-46
82,17047,0,2690,-26,-70,-3888,-9,-237,214
83,17047,0,2690,4,-54,-3966,52,33,31
84,17047,0,2689,-36,-144,-3866,71,-197,-43
85,17035,1,2690,-4,76,-3986,74,109,-117
86,17035,-1,2688,-52,20,-3866,-9,99,-58
87,17047,0,2690,-10,-66,-3972,-54,97,249
88,17035,0,2690,-72,80,-3974,-48,150,370
89,17035,-1,2689,-24,-24,-3964,-93,-72,75
90,17035,-1,2690,-44,154,-3838,10,83,107
91,17035,0,2690,-24,-96,-3936,127,-278,-69
92,17035,0,2691,-8,-18,-3956,-9,84,70
93,17035,-1,2691,-26,-8,-3900,46,100,-16
94,17047,-1,2690,46,-16,-3946,104,-358,-4
95,17035,0,2689,150,-678,-4022,10,188,865
96,17035,198,2690,398,-280,-3806,88,-300,-36
97,17035,454,2691,2896,8762,-1154,-855,-135,-187
98,17035,1317,2689,2214,6714,-5322,-1239,640,-387
99,17047,830,2689,1338,4852,-6658,-1191,-1670,-170
100,17047,1578,2691,-3918,2122,4004,937,-605,-2963
101,17035,2349,2689,2362,3594,-8234,982,-1110,-2259
102,17047,2859,2684,416,2320,-3212,-348,-595,164
103,17047,2926,2689,188,3360,-902,-142,417,-167
104,17035,2887,2690,-60,2772,-3326,-319,-1130,-2613
105,17035,2992,2685,698,6020,524,-535,395,-249
106,17047,2910,2685,3890,1064,-2564,-93,-688,191
107,17047,2952,2688,464,662,-2392,601,-1028,-1607
108,17035,3232,2688,-180,1586,-7838,-142,-704,-302
109,17035,3401,2689,246,6296,-11308,-416,-145,-892
110,17035,3731,2687,1306,4484,-4646,-872,-123,337
111,17047,2944,2687,830,6420,-8940,-461,-46,1685
112,17047,3114,2688,0,5056,-824,-129,271,4057
113,17047,3057,2686,-3572,5130,-3466,-916,1014,2404
114,17047,3170,2687,-1792,4636,-4712,795,357,2183
115,17035,3381,2688,-214,2608,2856,313,-37,-1292
116,17035,3501,2687,1742,-208,-4368,678,562,-2259
117,17035,3464,2688,1156,3164,-10434,68,539,497
118,17035,3371,2686,1482,3446,-9876,-1492,118,1929
119,17035,3266,2687,2330,1872,-4574,-461,503,904
120,17035,3460,2688,1456,2334,-4154,501,-406,806
121,17035,3017,2687,1492,684,-5486,-500,302,491
122,17035,3429,2687,498,4448,-5398,468,-21,-2200
123,17035,3595,2689,-678,1476,-198,536,-628,-22
124,17035,3498,2686,2132,3918,-130,-109,-72,2171
125,17035,3287,2687,-1834,5738,-3838,116,-1016,-1528
126,17035,3054,2688,3278,-12,-5884,84,465,-827
127,17035,3140,2686,1088,720,-6828,240,-1520,273
128,17047,3309,2687,822,2432,-9270,-77,700,-249
129,17047,3418,2687,-348,3238,-1148,78,90,-2188
130,17035,3479,2687,456,506,-2838,-100,-641,-1089
131,17035,3801,2687,798,3972,-10952,882,1150,-11349
132,17047,3242,2689,-718,5406,-818,465,-888,-1749
133,17047,3512,2688,1122,-1210,-2026,462,1183,851
134,17035,3540,2687,3084,3202,-8508,-549,33,1248
135,17035,3558,2688,-1490,3134,-2470,-100,-15,-550
136,17035,3663,2686,-1248,6954,-4570,-1098,484,1967
137,17047,3811,2689,-254,1988,-7438,-432,-831,-1295
138,17047,3888,2688,2840,102,-6398,-400,-234,-1168
139,17035,3752,2688,-60,988,-1748,32,-402,-694
140,17035,3798,2688,-2606,2548,-5022,233,751,-51
141,17047,3847,2686,-566,4412,-7052,-209,-732,-313
142,17047,3473,2687,-1732,1864,-4956,-61,830,-1478
143,17047,3948,2689,-1112,588,-1108,-704,499,-576
144,17035,3964,2688,-1090,2454,-5362,-61,-847,-214
145,17035,4014,2689,656,4042,-7110,330,61,676
146,17047,4073,2689,-288,-1000,-5146,1909,-176,-325
147,17035,4025,2686,1814,-634,-1570,-80,-939,1652
148,17035,4115,2686,676,-1306,-2664,-84,566,-40
149,17047,4030,2686,300,628,-2488,-3,245,-2259
150,17047,4157,2688,1962,646,-3216,617,306,-650
151,17035,4117,2690,3706,-2266,-1118,572,-1422,1257
152,17035,4138,2688,-420,-2688,-8242,246,236,84
153,17035,4214,2690,844,2732,-5120,307,1040,-3049
154,17035,4643,2686,-1460,-2584,-4106,-1656,614,1652
155,17035,3803,2687,792,2158,-1070,-500,864,482
156,17047,4719,2688,-1284,4108,-4538,-312,-573,-2427
157,17047,4044,2689,1262,-2300,-196,1150,658,373
158,17035,4326,2691,1412,1792,-5672,1463,-494,-682
159,17035,4386,2688,850,-822,-8502,-57,271,-1699
160,17035,4284,2689,1008,4256,-5266,-652,-1041,-2722
161,17035,4375,2687,-432,-1094,-2572,-652,-850,455
162,17035,4300,2686,2008,1592,-70,26,1538,290
163,17047,4277,2688,4294,2504,-1248,-545,1484,-1669
164,17047,4429,2690,82,-892,-3812,320,230,-1195
165,17047,4443,2689,2188,-1408,-840,-91,642,-3406
166,17047,4453,2690,-434,2028,-2356,311,-259,-1881
167,17035,4493,2690,548,-2296,-2544,-119,427,-479
168,17047,4422,2686,-878,-2634,-1646,988,-628,-3798
169,17047,4826,2690,1776,-958,-776,314,-2765,-661
170,17047,4040,2690,-1000,898,-7562,-429,-796,2472
171,17047,4479,2688,784,2732,-8754,-1382,80,1723
172,17047,4578,2687,-102,1320,-3214,-952,233,-399
173,17047,4552,2689,1768,1162,-5392,-26,141,455
174,17035,4585,2689,686,328,-1040,475,42,-2698
175,17047,4586,2689,1840,2118,-5020,976,-796,-1457
176,17047,4505,2689,-1794,38,-3784,265,1094,-2922
177,17047,4493,2688,-754,4264,-11344,-945,446,-2536
178,17047,4657,2687,-318,-1250,-5540,-177,868,1638
179,17047,4671,2687,90,868,-3190,-83,1288,-1825
180,16988,4628,2688,-298,162,-5510,159,827,-776
181,16988,4472,2687,-248,-18,-2030,1069,-878,-3544
182,16976,4615,2688,3162,1922,-5424,55,1782,-762
183,16976,4182,2689,490,-832,-6068,-835,-605,-1201
184,16904,4651,2689,1348,386,-4344,104,1421,208
185,16904,4751,2688,2998,-2584,-6214,-303,-409,-2430
186,16641,4511,2689,-2044,-584,138,655,169,812
187,15971,4590,2690,2604,-116,532,724,1158,-2156
188,15971,4819,2688,-196,-1720,-10302,623,-139,-1679
189,15708,4637,2687,-372,-326,-4384,411,-697,-2515
190,15708,4716,2687,1120,262,-3172,-106,350,517
191,15397,4774,2688,2536,2688,440,198,884,1355
192,15397,4788,2690,-2708,260,2040,1321,-1095,-635
193,15302,4563,2690,-814,728,-2414,663,922,3866
194,15337,5064,2687,-2414,4168,-6366,-226,-1174,-358
195,15337,4466,2687,-1502,-532,-3094,126,1738,-317
196,15720,4551,2686,770,-702,3488,207,649,-5200
197,15720,4565,2689,1432,-710,-1846,934,459,-2070
198,16294,4688,2689,-1228,-3838,-3222,1069,-1224,2985
199,16294,4844,2690,-440,-1200,-7192,1033,315,2963
200,16976,4589,2689,-2492,2338,-9554,-413,-1130,4746
201,16988,4863,2686,-2708,3534,-3028,-265,677,2866
202,16988,4816,2687,-1128,-2474,-3114,255,915,2589
203,16988,4759,2689,918,-1850,3724,-181,903,-1287
204,16988,4581,2690,2382,436,-6950,1359,-1152,809
205,16988,4574,2691,246,-2198,-5096,-509,-1158,2339
206,17000,4695,2689,-518,-3210,-2552,1663,1513,-2418
207,17000,5091,2688,1092,-398,-6734,727,153,-1487
208,16988,4217,2688,906,1602,-2698,88,-459,-172
209,16988,5063,2691,-762,308,-3548,1685,366,-2200
210,16988,4725,2690,170,-1308,-5586,1221,385,-5781
211,16988,4606,2688,-1344,856,-7094,814,1951,-8766
212,17000,4574,2688,1360,-946,-3002,481,2382,-2902
213,17000,4970,2687,882,3064,-9274,-345,-914,-467
214,17000,4867,2688,1196,-808,-3522,-394,630,-847
215,17000,4906,2691,-228,286,-5920,801,-679,835
216,17000,4664,2688,-848,-2116,-8268,-1513,1834,-4195
217,16976,4610,2688,670,-2988,-150,398,-1101,-1896
218,16976,4686,2689,250,-1784,-200,698,588,-3692
219,16892,4836,2688,-180,1534,-6988,194,121,715
220,16402,4554,2689,362,1858,-3690,255,1938,2132
221,16402,3760,2688,248,-1058,-3902,-513,1674,-2766
