index,servo,motor,gimbal,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
222,15517,3805,2687,3206,-2120,-6046,430,-1225,2604
223,15517,4092,2690,-2772,-2536,-7374,710,350,-2017
224,14907,2528,2691,-1604,-6204,-5394,-232,684,1263
225,14907,2426,2688,-104,-4278,-1326,-1101,-1162,5044
226,13783,2526,2686,1594,-6126,-6840,-1029,2437,353
227,12683,2120,2688,2504,-7416,-3264,1718,-1409,771
228,12683,2167,2690,1786,-2980,-1388,1669,-88,-727
229,11738,2143,2692,2042,-5232,-5032,882,1504,-1050
230,11738,1780,2687,-1538,-3644,-2896,130,868,1169
231,11308,1505,2686,-532,-3550,-3636,-1333,156,1787
232,11308,963,2689,-2546,-1316,-5378,-1268,-1155,1163
233,10997,841,2688,-1342,-6164,-5536,-336,-368,1687
234,10758,1073,2689,-548,-6300,-6814,1118,-1637,918
235,10758,1616,2689,-2834,-2432,-10108,207,-691,2224
236,10531,1656,2688,-1096,-3428,-2470,-393,125,2153
237,10531,1434,2687,1536,-2306,-5904,-752,-348,2498
238,10500,1132,2689,872,-4632,-2692,-661,360,2077
239,10500,834,2689,-166,-3250,-1394,-68,-676,2342
240,10500,836,2691,-170,-3706,-3632,-29,-348,2256
241,10500,866,2689,-3278,-1142,-5776,-203,-1498,2681
242,10500,1060,2689,-3452,-2466,-1784,-135,-157,2654
243,10500,1076,2689,-1516,-4462,-4396,201,310,2177
244,10500,1003,2689,-558,-3630,-5414,-148,-282,2265
245,10626,888,2691,-1474,-1474,-2244,36,-129,1911
246,10854,1137,2690,-2008,-2224,-3236,-509,399,1679
247,10854,1100,2689,-3488,-3250,-4684,-174,128,2050
248,11296,1394,2689,-1956,-1176,-5524,466,179,2398
249,11296,1519,2689,-2536,-2734,-4016,-42,-507,3220
250,11392,1626,2688,-2734,-452,-4522,100,668,3323
251,11392,2038,2689,-1876,230,-6046,-216,357,5360
252,11105,2067,2689,-2500,118,-2106,265,-1362,3052
253,10973,2876,2689,-2834,-344,-3236,-694,906,3562
254,10973,2851,2689,-6446,-1570,716,872,-586,1785
255,11033,2622,2689,-3016,-874,-1890,-691,-368,3591
256,11033,2703,2688,314,3298,-3290,-787,-967,6742
257,11320,2932,2687,-3852,-838,-5468,427,-735,5431
258,11320,2936,2688,-3342,4852,-4550,-196,81,5708
259,11738,2871,2686,-2862,602,-2702,258,385,5728
260,12480,3109,2686,-1510,3690,-12242,181,1141,5315
261,12480,3678,2686,636,2930,-6972,194,773,5861
262,13305,3193,2689,-8476,3426,204,691,-25,5404
263,13305,3371,2685,240,2140,-146,-529,614,6046
264,14070,3367,2686,-674,682,-4342,-917,-348,5802
265,14453,3445,2690,190,-1598,-5882,156,903,5251
266,14453,3360,2689,-4084,6500,-7276,282,-523,3636
267,14907,3824,2688,-3396,3996,320,165,-542,4296
268,14907,3111,2687,-4832,2028,2444,972,-345,4322
269,15218,3351,2689,-1722,2190,-4448,162,268,4859
270,15218,3458,2687,-2842,944,-6372,-791,-66,4319
271,15768,3604,2687,-3200,2090,-1272,342,391,3432
272,16186,3629,2689,-1624,6020,-5112,-2140,-84,5331
273,16186,3752,2688,-1238,136,-1152,-54,-236,5787
274,16461,3531,2689,-346,1528,-9346,633,-872,2669
275,16461,3530,2688,-3340,1278,-2246,1020,-1495,2845
276,16617,3471,2687,-4792,1846,-8402,969,1469,3400
277,16617,3601,2688,-1690,580,-2764,45,773,3323
278,16964,3634,2683,-2100,4162,-5542,-1216,706,1929
279,16988,3281,2689,-158,-960,-5172,-258,1145,1260
280,16988,3735,2689,-652,-2082,-2418,898,935,-1743
281,16988,3212,2690,474,150,-3900,750,109,556
282,16988,2963,2692,-1364,-778,-3310,863,-18,615
283,17000,3130,2689,-1158,570,-6134,59,821,-187
284,17000,2954,2688,-1408,530,350,-84,-730,-1263
285,17000,2505,2688,176,-2020,-2738,-823,337,482
286,17000,2670,2688,230,-2764,-4752,-1016,-589,161
287,17000,2870,2690,-452,-4428,-6002,1311,442,-2324
288,17000,2648,2691,1108,-2144,-6566,562,-1127,-986
289,17000,2504,2689,-1080,-1700,-4786,482,-259,-570
290,17000,2541,2689,454,-2828,-7488,142,-53,497
291,16964,2105,2689,1774,-3958,-2984,346,-885,-830
292,16964,2248,2689,982,-1372,-3166,-167,938,-101
293,16988,2320,2690,-1170,-5992,-892,-759,131,514
294,16988,2260,2690,842,-744,-5548,553,852,833
295,17047,2310,2691,806,-3440,-5434,356,-18,1387
296,17047,2430,2689,1130,-3072,-5874,52,176,291
297,17047,2314,2687,-538,-808,-4480,-119,52,429
298,17035,2305,2689,-452,-2404,-518,-493,519,211
299,17035,2395,2690,-362,-564,-4684,46,33,132
300,17047,2075,2690,138,80,-2450,271,496,-276
301,17047,2235,2690,100,-1458,-5116,543,-425,-921
302,17047,2305,2690,2216,-1122,-5314,249,369,43
303,17047,2315,2688,406,826,-3682,-203,-688,296
304,17035,2503,2689,-60,-1466,-3824,-83,116,-1377
305,17035,2690,2690,-1584,324,-3006,-700,113,-461
306,17035,2467,2689,-156,496,-876,43,-129,414
307,17035,2379,2688,156,1506,-4906,882,224,-1401
308,17035,2609,2689,-394,1256,-4310,-86,-107,942
309,17023,2914,2688,-2734,-148,-1864,-152,1,2353
310,17023,2426,2689,2162,1340,-7786,-74,-107,-322
311,17000,2370,2689,-234,3110,-3556,-671,5,438
312,16976,2393,2690,-302,530,-4792,123,-437,-650
313,16976,2445,2689,560,920,-1900,145,255,-777
314,16964,2518,2689,1712,150,-2346,-771,-685,-157
315,16964,2584,2689,38,-1804,-3904,-229,64,809
316,16976,2649,2688,164,2526,-9190,-58,369,329
317,16976,2880,2689,398,1848,-2194,-1527,592,511
318,16988,2942,2688,-924,-640,-2088,472,-98,-585
319,17000,2984,2687,-72,2010,-6122,-1752,-189,-1089
320,17000,3099,2689,1368,1474,-3780,-604,-435,794
321,17000,3256,2686,1656,-548,-7520,424,570,64
322,17000,3465,2689,1648,3548,-5766,756,697,232
323,16988,3438,2689,-96,1816,-6422,172,446,-985
324,16964,3310,2689,1844,2192,-5078,-981,830,909
325,16964,3321,2687,-1394,3598,-1900,-513,925,-2872
326,16964,3390,2687,-160,1988,2540,330,935,-971
327,16964,3713,2688,-1472,2016,-5260,304,372,-1381
328,17000,3196,2688,-1656,4178,-2784,610,39,-2480
329,17000,3716,2687,-454,2728,-4276,-13,-470,-735
330,17047,3732,2688,-1314,-108,2596,517,-564,-1478
331,17047,3482,2687,-1714,-1334,-3406,407,343,-1802
332,17047,3673,2688,-514,3966,-4680,-416,-129,-1183
333,17047,3569,2687,-418,4020,-1420,-248,176,-950
334,17047,3634,2688,388,-72,-2960,-122,637,901
335,16988,3663,2689,908,1496,-3504,-42,-730,491
336,16988,4045,2687,1656,-1168,-3994,356,-904,3032
337,16988,3455,2689,-824,1798,-5148,98,-250,-1380
338,16964,3618,2689,-260,16,-5092,262,-1393,1
339,16964,3665,2687,-870,-414,-3418,-39,1125,-1581
340,16976,3629,2686,828,-584,-2924,-745,-119,2318
341,16976,3763,2688,1302,-1258,-1894,58,-114,-111
342,16976,3364,2689,1312,750,-9908,-342,87,556
343,16976,3911,2689,1648,650,-4960,517,-409,-43
344,16976,3383,2689,112,-20,-2870,26,-250,1510
345,16964,3725,2690,504,-2046,-1880,359,703,-2200
346,16964,3308,2688,-1272,700,-2950,-590,1364,-741
347,16976,3295,2688,1060,1396,-1850,501,683,-2121
348,16976,3431,2690,674,436,-3716,410,-815,1289
349,16988,3435,2690,1376,-188,-748,249,-1235,-768
350,16964,3641,2690,1188,1334,-5876,481,207,331
351,16964,3438,2689,160,-844,-6400,36,-285,-1210
352,16976,3167,2688,722,-1668,-1798,385,-100,-1127
353,16976,3305,2688,-578,-48,-7600,-458,30,-894
354,16976,3484,2690,-552,292,-1578,-281,137,-818
355,16976,3399,2690,1836,642,-4716,-423,90,-956
356,16964,3462,2689,-168,-542,-2998,-39,19,-553
357,16964,3642,2689,324,-1070,-2274,601,-30,-172
358,16964,3008,2690,36,-4,-4758,242,-1260,352
359,16964,3451,2689,-626,-190,-5154,-294,232,152
360,16964,3419,2690,3168,14,-3368,191,-364,-1451
361,16976,3690,2687,-1322,-392,-2634,-887,1926,-1003
362,16976,3831,2689,2768,810,-1870,-283,252,2295
363,16976,3425,2689,-118,856,-3438,158,68,597
364,16892,3754,2689,1480,-922,-3028,775,-955,-1944
365,16892,3021,2691,-522,88,-7692,959,-1352,-4470
366,16677,3571,2691,-1290,738,-2606,-452,-520,1911
367,16677,3523,2688,-254,-382,-4772,104,1290,-4072
368,15959,3761,2687,-1110,442,0,-858,1278,211
369,15959,3515,2690,1758,1462,-3008,-206,595,665
370,15218,3512,2689,-2178,1022,-3952,-51,49,-134
371,15003,3589,2689,-2158,382,-4142,317,-742,429
372,15003,3567,2688,-1812,-328,-4776,-87,-536,1101
373,14931,3779,2689,-2170,-1568,-2326,-516,-243,2206
374,14931,3490,2687,-3600,-2058,1088,165,347,1611
375,14931,3662,2688,1312,2064,-8692,-216,-730,31
376,14931,3613,2688,-314,268,-2072,62,1087,2153
377,14919,3621,2690,-754,3392,-5292,-345,-294,1546
378,14931,3706,2689,-1608,-708,-3526,-465,77,96
379,14931,3701,2689,-1468,3392,-1058,-51,451,1926
380,14536,3714,2689,-2546,1418,-6316,-106,-1701,2062
381,14536,4063,2688,-2190,-1364,-3192,-468,1004,2120
382,13950,3873,2688,362,-380,-1506,-122,-1713,1732
383,13652,3473,2687,-2398,-480,-1988,252,-34,2804
384,13652,3842,2686,-24,3138,-4998,-155,160,2943
385,13520,3969,2686,-3950,572,-4188,294,17,87
386,13520,4075,2686,-1418,-1886,-1708,187,477,2601
387,13520,4042,2687,-3506,-4112,174,-193,-307,3323
388,13520,3908,2688,-2082,-2266,-1004,1734,-34,-48
389,13640,4051,2687,-1306,-3058,-2466,-225,-640,3020
390,13771,3930,2686,-3686,-954,1332,424,843,5416
391,13771,3936,2688,-1452,410,174,330,560,904
392,13891,4137,2691,-5354,2284,-4554,-1107,-387,5348
393,13891,4105,2690,-1720,1402,-3808,-1084,-764,4499
394,13795,4091,2688,-4462,2636,-7372,113,-126,3134
395,13795,3911,2689,-1606,-2108,-4036,-407,-50,4163
396,13771,4016,2688,-1966,1432,-6518,-64,-402,3727
397,13783,3925,2687,-2332,-1594,792,-471,563,5870
398,13783,4124,2689,146,-1002,-1670,-2447,445,10125
399,13903,4063,2690,-4370,1420,-3728,-274,-1790,5342
400,13903,4097,2690,-4808,-328,-7564,-158,662,3851
401,14453,3916,2689,-3690,4360,-3352,-435,-935,3244
402,14453,4016,2687,-7434,-846,-6286,-194,1316,3394
403,15230,3924,2689,-3814,-1008,5606,-126,1080,3924
404,16318,3642,2689,-1804,-340,-4286,1195,236,93
405,16318,4122,2689,492,740,-6302,1624,58,4587
406,17000,3791,2691,-4580,1268,-5984,847,-668,4308
407,17000,3990,2689,-12514,2758,-6156,520,-615,5766
408,17000,4003,2686,2860,-2228,-2100,-484,2491,7228
409,17000,3908,2687,980,-1496,-6506,94,-2356,1743
410,17000,3883,2693,-3054,-672,310,549,674,-615
411,16988,3895,2693,2480,-606,1068,1408,166,803
412,16988,3907,2689,-118,-2454,-3486,752,-1495,2064
413,17000,3790,2690,2118,-860,-808,223,2640,-1705
414,17000,3851,2691,-358,-60,-7800,-639,-691,3055
415,16964,3728,2689,-2448,584,-7684,-448,-345,1850
416,16976,3831,2689,-578,706,-3228,633,150,-715
417,16976,3907,2691,-852,-318,-4450,330,-1552,426
418,16976,3937,2689,-1694,-2426,-4254,956,382,-685
419,16976,3949,2688,-106,-1464,-2466,-86,36,-31
420,16964,3784,2689,-2718,40,-5736,-190,834,-257
421,16964,3877,2690,794,204,-2888,479,503,-588
422,16904,3901,2689,1244,914,-13414,650,-173,-5115
423,16748,3819,2690,-662,-898,-624,627,-338,2156
424,16748,3825,2691,908,-784,-2674,226,-975,-1794
425,15864,3928,2690,1960,-2588,-2922,149,484,-1177
426,15864,3766,2689,-2598,1882,-246,85,554,435
427,14919,3953,2690,-1276,-1424,-6494,142,1709,644
428,14919,3599,2688,-3332,-138,-1660,-332,436,3824
429,14058,4017,2688,-2370,-846,-8278,146,-1475,-644
430,13652,3262,2689,-4846,72,-1892,342,712,-2575
431,13652,3790,2688,-902,-1686,-1270,52,-1133,4251
432,13496,3553,2685,-3230,-2634,-5710,314,1078,1381
433,13496,3658,2688,-444,-22,-4952,1314,-742,1272
434,13496,3653,2687,-3450,-2636,-3262,20,1783,5882
435,13532,3551,2689,-444,368,-2290,-542,1316,5457
436,13532,3683,2688,-1700,-384,-3184,-323,-216,3249
437,13711,3666,2690,-2024,122,-2780,80,-16,3223
438,13711,3974,2690,-3146,-2766,-6136,705,640,-302
439,13974,3985,2690,-2326,-1626,-2510,-164,3069,5115
440,13974,3149,2689,-2744,1412,-4734,-277,859,5496
441,14453,3637,2688,-3344,-918,-1342,-235,-453,5448
442,15134,3564,2689,-4414,-534,-6150,-35,337,5925
443,15134,3802,2689,-4714,-536,-3888,-10,-721,1560
444,15589,3861,2689,-2278,-2308,-4926,253,398,4992
445,15589,3644,2689,-1518,1234,-4318,-587,551,7037
446,15971,3541,2691,-3676,-92,-2246,488,116,3936
447,15971,3677,2690,-2810,-652,-3678,243,1418,3182
448,16270,3865,2689,-1608,-348,-1328,-439,-2009,3019
449,16402,3282,2690,-1126,-414,-4070,-943,1880,2032
450,16402,3601,2688,348,-722,-2084,-1074,-716,4152
451,16748,3729,2689,-2824,362,-6474,-126,-1123,3049
452,16748,3765,2691,-1478,1098,-7270,840,557,2026
453,16964,3683,2692,-1066,2126,-7082,-132,-377,1811
454,16964,3488,2688,-1486,-2322,-2384,-119,1374,2195
455,16988,3385,2689,256,-1720,-3444,-109,1707,1894
456,16988,3883,2689,-768,2128,-4728,-384,880,482
457,16988,3819,2691,-2328,100,-5634,-145,458,1596
458,17000,3182,2691,-106,466,-4960,449,-974,1743
459,17000,3472,2691,902,-488,-4536,-84,-177,-1228
460,17000,3736,2688,-556,-8,-3260,42,661,-853
461,16976,3530,2688,-72,-494,-8832,-139,125,-1434
462,16976,3621,2689,62,924,-5836,36,506,-361
463,17000,3845,2691,1174,-558,-4324,452,23,582
464,17000,3456,2689,-86,-1490,-4968,217,-367,382
465,17000,3365,2689,-326,878,-7848,-277,-780,-52
466,17000,3738,2691,1456,-384,-1630,-416,-377,2439
467,16988,3430,2691,176,222,-9316,-1347,385,128
468,16988,3741,2689,-228,1280,518,133,1538,-1646
469,16988,3446,2688,1026,-912,-3434,249,-250,620
470,17000,3555,2689,692,-1920,-2518,433,-520,358
471,17000,3365,2688,998,402,-6854,795,-262,-2960
472,17011,3339,2689,1170,710,-3440,-90,308,-7
473,17011,3478,2689,474,566,-4884,-103,207,-432
474,17011,3303,2689,970,964,-6538,26,-466,550
475,17000,3920,2689,-644,16,90,210,414,2533
476,17000,3432,2690,402,-1050,-1082,930,-167,679
477,16988,3447,2689,818,436,-2448,229,-685,-229
478,16988,3316,2690,-1502,-326,-5876,-509,-834,-1460
479,16988,3579,2688,-354,1262,-1454,-985,1446,1254
480,16988,3748,2688,-42,136,-3662,-597,-444,-293
481,17023,3053,2689,1282,-370,-2768,-122,-1317,3741
