index,servo,motor,gimbal,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0,0,0,-32,4,-3926,-12,-78,90
1,17035,1,2690,-54,-50,-3974,123,103,170
2,17035,0,2690,-2,-30,-4010,140,-18,28
3,17047,0,2690,-42,56,-4012,-50,262,93
4,17047,0,2690,-32,62,-4038,14,17,2
5,17047,0,2689,-26,-26,-4010,-34,-33,67
6,17047,0,2690,42,50,-3994,-12,132,-60
7,17047,1,2690,-56,72,-3966,1,62,188
8,17047,0,2691,-26,-66,-3916,85,97,-98
9,17035,0,2689,-56,144,-3888,37,-185,52
10,17035,0,2689,-32,62,-3994,20,68,37
11,17035,0,2689,-8,-58,-3926,56,106,20
12,17047,-1,2689,-64,124,-4002,1,-84,55
13,17047,0,2690,-18,-74,-3922,114,-110,-116
14,17035,0,2690,-2,-64,-3960,43,-80,-48
15,17035,0,2690,4,46,-3988,-80,284,17
16,17047,0,2689,-28,64,-4010,-67,135,-84
17,17047,0,2689,-18,-80,-3920,21,168,-107
18,17047,0,2690,-26,72,-3974,-32,240,-110
19,17035,0,2691,-44,14,-3960,49,-113,-243
20,17035,0,2691,-20,-74,-3856,36,278,132
21,17035,0,2689,-52,-30,-3914,21,84,158
22,17035,0,2690,-6,18,-4038,-22,138,-128
23,17047,0,2690,-50,112,-3976,143,-128,-196
24,17047,0,2690,-56,2,-3902,-67,-53,202
25,17035,0,2689,-22,52,-3934,201,5,155
26,17047,0,2689,-42,68,-4034,27,-288,117
27,17047,0,2690,-38,-24,-3948,-154,262,123
28,17035,0,2689,-40,14,-3886,17,-141,-84
29,17035,0,2691,-40,206,-4042,49,186,-193
30,17035,0,2690,8,-112,-3842,39,-132,-302
31,17119,0,2690,-6,30,-4018,30,-227,-19
32,17119,-1,2690,-44,50,-3948,-35,33,58
33,17107,0,2690,4,44,-3982,42,-82,225
34,17107,0,2691,-64,74,-3886,-25,-59,-19
35,17119,-1,2690,48,-174,-3928,43,189,-145
36,17119,0,2691,24,-2,-3936,20,-151,-134
37,17107,-1,2690,-140,-22,-3986,-154,-97,126
38,17119,1,2690,-56,132,-4164,-35,65,244
39,17119,0,2691,-4,-142,-3738,-21,-39,297
40,17107,0,2690,-70,82,-3948,4,145,-157
41,17107,0,2689,10,82,-3942,-83,100,524
42,17107,0,2690,-44,24,-4052,79,-78,-311
43,17107,0,2690,-6,-84,-3940,68,-11,-84
44,17107,0,2689,-24,-68,-3842,14,-132,49
45,17047,0,2690,8,18,-3986,-28,144,84
46,17047,0,2689,-14,-36,-4122,7,18,23
47,17047,1,2690,-58,-66,-4006,-122,-2,76
48,17047,-1,2691,-146,90,-3830,-57,84,-143
49,17047,0,2690,-58,128,-3928,211,-100,-358
50,17047,0,2690,-32,-140,-3886,68,116,55
51,17035,0,2690,-18,154,-3900,68,128,-166
52,17035,0,2690,8,14,-3912,4,462,-319
53,17035,1,2690,-32,82,-4016,-38,-110,-148
54,17035,-1,2689,-26,-120,-3864,17,541,-25
55,17035,0,2691,-48,64,-4040,-15,167,-95
56,17035,0,2689,-32,-78,-3912,-67,93,-19
57,17035,0,2690,-26,84,-3980,7,109,120
58,17035,-1,2689,-92,66,-3946,72,144,332
59,17035,0,2690,4,-178,-3948,72,-65,105
60,17035,0,2689,-58,142,-4042,27,-27,99
61,17035,0,2689,42,-144,-4042,-80,186,-140
62,17035,1,2690,-54,112,-3904,-22,102,-58
63,17035,0,2689,2,-128,-3966,65,-320,46
64,17047,1,2690,-60,124,-4000,59,62,14
65,17047,0,2689,76,46,-3946,56,-97,-81
66,17035,23,2690,-90,-94,-3906,-80,-201,258
67,17035,188,2689,-70,-100,-3880,-106,71,-169
68,17035,235,2689,-204,1634,-3922,-134,241,-151
69,17035,307,2689,-158,940,-3388,39,-593,-632
70,17047,169,2688,-300,2070,-3274,-90,20,-207
71,17047,356,2690,1090,2804,-3610,68,33,-51
72,17047,235,2690,576,574,-2578,52,8,332
73,17047,241,2690,580,2908,-4188,68,93,-81
74,17047,564,2689,372,1864,-5868,-338,-713,164
75,17035,647,2690,482,1010,-2256,-389,-7,-207
76,17035,627,2690,1432,1988,-5128,-105,-389,-81
77,17047,743,2690,-154,-884,130,-64,-504,-178
78,17047,814,2688,1150,-188,-2604,317,107,-31
79,17047,967,2688,-520,6824,-5518,-203,-456,-266
80,17035,843,2690,-80,1228,-1894,-212,259,356
81,17035,879,2689,-1240,3768,-2672,653,98,-246
82,17035,1096,2690,-594,922,-2060,705,-284,84
83,17035,1403,2689,208,4428,-6790,-280,123,403
84,17047,873,2691,-1694,2556,-6454,65,421,-364
85,17035,1143,2688,46,-956,-7046,-148,-30,-160
86,17035,1196,2688,908,2638,-7974,-306,-431,320
87,17047,1370,2688,-734,1144,-2998,382,192,-1283
88,17047,1436,2690,-230,3508,-992,185,252,-988
89,17035,1372,2688,406,2812,-9672,-45,211,31
90,17047,1424,2688,612,116,-4308,-32,-528,-66
91,17047,1427,2688,-378,1490,-884,-613,27,-54
92,17047,1446,2690,-674,-1042,-3546,-19,250,297
93,17047,1419,2689,-280,1486,-2778,462,103,-131
94,17035,1504,2690,510,158,-6600,-48,357,-222
95,17035,1542,2690,188,382,-5956,317,272,-104
96,17047,1348,2689,-436,752,-4076,-3,68,-39
97,17035,1366,2688,-240,-492,-2936,113,220,22
98,17035,1526,2690,1440,938,-3610,340,-18,96
99,17035,1436,2690,-98,1098,-6218,236,-24,-932
100,17035,1370,2690,296,-822,-3134,94,421,185
101,17047,1503,2689,-220,592,-4384,120,4,-877
102,17047,1571,2689,1002,-1808,-6172,-176,-55,-346
103,17035,1510,2691,-428,3858,-2952,-206,249,-349
104,17035,1592,2689,-440,2350,-1768,-44,-55,-204
105,17035,1571,2689,-384,1684,-2912,443,402,-891
106,17047,1730,2690,1744,662,-4122,449,-78,-125
107,17047,1429,2689,1056,1018,-2078,-416,189,-835
108,17035,1656,2689,504,-1086,672,-312,583,-1548
109,17035,1727,2690,896,1402,-6574,-387,-72,-39
110,17035,1726,2687,-860,2824,-2008,101,-208,-464
111,17047,1811,2688,-2110,6320,-2950,256,56,-172
112,17047,1915,2689,40,2388,-1726,72,-465,317
113,17035,1972,2688,-2528,3888,1684,-1003,-1548,482
114,17035,2107,2688,2958,1870,-5790,-422,970,-31
115,17047,2179,2687,-1372,142,-6616,-584,795,-523
116,17035,2173,2689,652,3434,-6784,653,20,-918
117,17035,2212,2689,956,-336,-1162,582,-297,-767
118,17047,2298,2689,166,1502,-2288,4,-335,185
119,17047,2082,2689,340,-450,-3152,372,-227,-246
120,17035,2363,2688,446,3230,-3016,-271,440,-865
121,17035,2364,2688,-1104,-472,-3324,-25,-40,388
122,17035,2357,2690,-826,1510,-3888,107,43,-632
123,17047,2299,2690,-422,-1118,-5648,114,-1,-396
124,17047,2351,2688,1496,-752,-3548,146,373,-564
125,17119,2333,2689,-1246,-918,-2762,295,590,-1949
126,17119,2244,2689,1830,-480,-3582,230,179,-169
127,17107,2345,2690,-1292,148,-5180,46,301,-2223
128,17107,2323,2691,112,-1278,-4936,-25,246,-1201
129,17035,2507,2689,1352,306,-7310,-103,-519,-369
130,17047,2183,2689,408,114,-4716,-138,68,226
131,17047,2264,2688,-288,1412,-734,-196,-697,-178
132,17035,2434,2689,644,100,-2418,-215,316,-137
133,17035,2083,2689,1136,-1440,-2662,-260,-830,-423
134,17035,2430,2690,-1864,856,-2998,133,379,-770
135,17035,2039,2690,1388,-672,-5428,279,265,-187
136,17023,2324,2691,-94,-198,-822,305,-398,-1669
137,16988,2409,2690,-42,-688,-3044,207,433,-485
138,16988,2494,2688,-410,1554,-3722,-57,14,547
139,16964,1923,2690,1254,-594,-5452,1,116,114
140,16964,2333,2691,268,914,-1432,-132,-510,-423
141,16976,2442,2690,-836,-150,-3780,159,440,-2548
